participant_id,age,gender,condition,hours_weekly,trait_hostility,empathy,aggression
51,23,woman,violent,17.9,4.8,5.1,7.3
52,20,woman,neutral,10.8,1.7,4.9,3.2
53,22,woman,violent,1.7,2.8,5.2,3.4
54,25,man,violent,9.2,3.7,3.7,4.2
55,22,woman,neutral,5.6,4.5,4.0,6.0
56,25,man,neutral,6.2,4.1,3.1,5.7
57,19,man,neutral,4.2,2.2,5.3,4.6
58,23,man,neutral,5.7,4.8,3.4,5.7
59,23,non-binary,violent,10.2,5.3,3.3,6.8
60,22,man,violent,2.3,5.6,4.4,7.2
61,22,man,violent,9.3,3.9,2.6,8.4
62,19,woman,neutral,3.1,6.1,2.7,5.1
63,25,woman,violent,11.4,4.3,3.6,7.7
64,23,man,neutral,4.7,3.9,4.8,2.4
65,24,woman,neutral,12.4,3.6,5.6,4.3
66,22,man,violent,3.8,2.7,4.9,5.7
67,18,man,neutral,3.0,3.2,4.5,4.3
68,25,man,violent,8.4,3.6,5.6,5.4
69,24,man,violent,6.1,3.1,5.3,4.6
70,18,non-binary,violent,7.6,3.5,4.7,7.2
71,23,man,violent,7.2,1.0,6.9,1.2
72,18,woman,violent,6.8,4.7,4.2,7.4
73,25,man,violent,8.5,1.4,5.3,3.8
74,20,woman,violent,4.4,3.7,5.7,6.8
75,18,man,violent,0.6,3.6,5.0,5.3
76,24,non-binary,violent,7.6,3.4,4.3,5.2
77,25,man,violent,5.2,2.8,4.3,4.7
78,19,woman,neutral,9.7,4.5,4.2,5.8
79,25,woman,neutral,9.4,4.2,4.6,4.5
80,23,non-binary,neutral,10.4,4.5,4.0,4.1
81,23,woman,neutral,5.2,2.7,4.7,5.1
82,20,man,neutral,7.5,4.8,4.1,5.9
83,19,man,violent,5.7,2.2,6.8,6.1
84,18,man,neutral,20.5,3.8,4.9,6.7
85,20,woman,violent,8.0,2.1,5.9,2.9
86,23,man,violent,2.4,4.4,4.2,6.2
87,22,man,neutral,21.6,2.4,5.6,4.5
88,18,woman,neutral,9.1,4.8,4.1,5.0
89,21,woman,violent,6.5,1.4,6.4,5.0
90,20,man,violent,2.4,1.9,5.4,2.4
91,18,woman,neutral,9.3,3.2,5.4,3.9
92,19,woman,neutral,14.5,3.6,4.8,5.0
93,25,man,neutral,9.7,5.1,4.6,3.8
94,24,man,neutral,3.7,3.7,3.6,4.2
95,24,woman,neutral,4.8,4.2,4.1,3.6
96,22,man,neutral,10.0,2.2,6.9,1.9
97,22,man,violent,10.7,3.1,6.3,5.1
98,22,woman,violent,10.9,2.4,7.0,4.7
99,25,woman,neutral,16.2,3.2,5.3,3.9
100,21,man,neutral,7.5,3.6,4.5,3.2
101,24,woman,violent,13.4,2.6,5.9,5.1
102,21,man,violent,7.6,4.0,4.1,6.4
103,21,man,violent,6.3,4.3,5.2,4.6
104,21,woman,neutral,2.4,1.1,5.1,1.6
105,24,woman,neutral,19.9,1.9,6.2,4.4
106,22,woman,violent,8.0,2.5,3.9,7.2
107,21,woman,neutral,3.4,2.7,5.2,5.0
108,24,woman,violent,11.5,3.4,6.2,6.5
109,18,man,violent,19.6,3.6,3.2,7.0
110,22,woman,violent,10.9,2.1,5.8,5.9
111,22,man,neutral,16.7,3.1,4.6,4.8
112,19,man,neutral,11.7,2.6,6.5,2.5
113,22,woman,neutral,4.0,4.8,2.6,3.1
114,23,man,neutral,6.2,3.2,3.8,5.1
115,19,woman,neutral,13.6,2.6,7.0,2.7
116,20,non-binary,neutral,4.3,4.3,4.0,3.5
117,18,man,violent,5.6,2.7,5.0,4.7
118,18,woman,violent,16.3,1.4,5.5,7.1
119,23,woman,violent,5.7,3.0,5.5,7.6
120,19,non-binary,neutral,18.9,2.6,4.9,7.2
